Title,Accession number,Author,Author affiliation,Corresponding author(s),Source,Abbreviated source title,Sponsor,Publisher/Repository,Volume,Issue,Pages,Issue date,Monograph title,Volume title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Funding details,Funding text,Open Access type(s),Database,Copyright,Data Provider
"DyPS: Dynamic Parameter Sharing in Multi-Agent Reinforcement Learning for Spatio-Temporal Resource Allocation","20243817041027","Wang, Jingwei (1); Hao, Qianyue (1); Huang, Wenzhen (1); Fan, Xiaochen (1, 2); Tang, Zhentao (3); Wang, Bin (3); Hao, Jianye (4); Li, Yong (1) ","(1) Department of EE, BNRist, Tsinghua University, Beijing, China (2) Institute for Electronics and Information Technology, Tianjin, China (3) Huawei Noah's Ark Lab, Beijing, China (4) Tianjin University, Huawei Noah's Ark Lab, Beijing, China ","","Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","Proc. ACM SIGKDD Int. Conf. Knowl. Discov. Data Min.","ACM SIGKDD; ACM SIGMOD","Association for Computing Machinery","","","3128-3139","August 24, 2024","KDD 2024 - Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining","","1 of 1","2024","English","2154817X","","","9798400704901","10.1145/3637528.3672052","","30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining, KDD 2024","August 25, 2024 - August 29, 2024","Barcelona, Spain","202030","","Conference article (CA)","In large-scale metropolis, it is critical to efficiently allocate various resources such as electricity, medical care, and transportation to meet the living demands of citizens, according to the spatio-temporal distributions of resources and demands. Previous researchers have done plentiful work on such problems by leveraging Multi-Agent Reinforcement Learning (MARL) methods, where multiple agents cooperatively regulate and allocate the resources to meet the demands. However, facing the great number of agents in large cities, existing MARL methods lack efficient parameter sharing strategies among agents to reduce computational complexity. There remain two primary challenges in efficient parameter sharing: (1) during the RL training process, the behavior of agents changes significantly, limiting the performance of group parameter sharing based on fixed role division decided before training; (2) the behavior of agents forms complicated action trajectories, where their role characteristics are implicit, adding difficulty to dynamically adjusting agent role divisions during the training process. In this paper, we propose Dynamic Parameter Sharing (DyPS) to solve the above challenges. We design self-supervised learning tasks to extract the implicit behavioral characteristics from the action trajectories of agents. Based on the obtained behavioral characteristics, we propose a hierarchical MARL framework capable of dynamically revising the agent role divisions during the training process and thus shares parameters among agents with the same role, reducing computational complexity. In addition, our framework can be combined with various typical MARL algorithms, including IPPO, MAPPO, etc. We conduct 7 experiments in 4 representative resource allocation scenarios, where extensive results demonstrate our method's superior performance, outperforming the state-of-the-art baseline methods by up to 31%. Our source codes are available at https://github.com/tsinghua-fib-lab/DyPS. © 2024 Copyright held by the owner/author(s).","51","Reinforcement learning","Adversarial machine learning - Conformal mapping - Contrastive Learning - Federated learning - Multi agent systems - Resource allocation - Self-supervised learning - Supervised learning","Dynamic parameter sharing - Dynamic parameters - Multi-agent reinforcement learning - Parameter sharing - Performance - Reinforcement learning method - Resources allocation - Spatio-temporal - Spatio-temporal resource allocation - Training process","912.2 Management - 1101 Artificial Intelligence - 1101.2 Machine Learning - 1101.2.1 Deep Learning - 1201.2 Calculus and Analysis - 1201.14 Geometry and Topology","Number: U22B2057,U21B2036, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: -, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 2022ZD0116402, Acronym: NKRDPC, Sponsor: National Key Research and Development Program of China; Number: -, Acronym: NKRDPC, Sponsor: National Key Research and Development Program of China; ","This work was supported in part by the National Natural Science Foundation of China under U22B2057 and U21B2036 and the National Key Research and Development Program of China under grant 2022ZD0116402.","All Open Access, Gold","Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Generative Agents for Realistic Mobile Computing and User Behaviour Case","20261020227331","Akor, George Chidera (2); Ahakonye, Love Allen Chijioke (1); Lee, Jae-Min (2, 3, 4); Kim, Dong-Seong (2, 3, 4) ","(1) Kumoh National Institute of Technology, Ict Convergence Research Center, Gumi, Korea, Republic of (2) Kumoh National Institute of Technology, IT-Convergence Engineering, Gumi, Korea, Republic of (3) NSLab Co. Ltd., Gumi, Korea, Republic of (4) Kumoh National Institute of Technology, Gumi, Korea, Republic of ","Lee, Jae-Min(dskim@kumoh.ac.kr); Kim, Dong-Seong(dskim@kumoh.ac.kr)","ICMIC 2025 - 4th International Conference on Mobile, Military, Maritime IT Convergence: Promoting Ultimate Convergence of Wireless, Military and Maritime Communications in the 6G Era","ICMIC - Int. Conf. Mob., Mil., Marit. IT Converg.: Promot. Ultim. Converg. Wirel., Mil. Marit. Commun. in 6G Era","","Institute of Electrical and Electronics Engineers Inc.","","","141-144","2025","ICMIC 2025 - 4th International Conference on Mobile, Military, Maritime IT Convergence: Promoting Ultimate Convergence of Wireless, Military and Maritime Communications in the 6G Era","","1 of 1","2025","English","","","","9798331588854","10.1109/ICMIC66299.2025.11257744","","4th International Conference on Mobile, Military, Maritime IT Convergence: Promoting Ultimate Convergence of Wireless, Military and Maritime Communications in the 6G Era, ICMIC 2025","August 27, 2025 - August 30, 2025","Cebu, Philippines","218195","","Conference article (CA)","Realistic mobile user behaviour is essential for evaluating mobile systems, but traditional methods often lack context and adaptability. We explore using Large Language Models (LLMs) to simulate human-like mobile interactions by developing generative agents with defined personas and goals. These agents query Google's Gemini model within a discrete-time simulation environment to determine actions based on dynamic context. We compared LLM-powered agents against a random-action baseline across key metrics like location, activity, application usage, and charging patterns, using simulated 24-hour histories for student and office worker personas. Results show that LLM-agents exhibit more plausible, goal-oriented behaviour that better aligns with persona expectations and real-world benchmarks. Despite some limitations, such as overestimated application usage, this work demonstrates the potential of LLM-powered agents for creating rich, context-aware mobile behaviour scenarios. © 2025 IEEE.","15","Mobile computing","Autonomous agents - Behavioral research - Benchmarking - Computational methods - Human computer interaction - Intelligent agents - Mobile agents - Modeling languages - User interfaces","Agent-based model - Behaviour models - Context-Aware - Context-aware simulation - Generative agent - Language model - Large language model - Mobile users - Mobile-computing - User behaviors","101.5 Ergonomics and Human Factors Engineering - 913.3 Quality Assurance and Control - 971 Social Sciences - 1103.2 Computer Peripheral Equipment - 1106.4 Database Systems - 1106.5 Computer Applications - 1106.9 Computer Software - 1107 Human-Machine Systems - 1201.5 Computational Mathematics","Number: -, Acronym: NRF, Sponsor: National Research Foundation of Korea; Number: -, Acronym: IITP, Sponsor: Institute for Information and Communications Technology Promotion; Number: IITP-2025-RS-2020-II201612, Acronym: MSIT, Sponsor: Ministry of Science and ICT, South Korea; Number: -, Acronym: MSIT, Sponsor: Ministry of Science and ICT, South Korea; Number: 2018R1A6A1A03024003, Acronym: MEST, Sponsor: Ministry of Education, Science and Technology; Number: -, Acronym: MEST, Sponsor: Ministry of Education, Science and Technology; Number: IITP-2025-RS-2024- 00438430, Acronym: ITRC, Sponsor: Iran Telecommunication Research Center; Number: -, Acronym: ITRC, Sponsor: Iran Telecommunication Research Center; ","This work was partly supported by Innovative Human Resource Development for Local Intellectualization program through the IITP grant funded by the Korea government( MSIT) (IITP-2025-RS-2020-II201612, 33%) and by Priority Research Centers Program through the NRF funded by the MEST(2018R1A6A1A03024003, 33%) and by the MSIT, Korea, under the ITRC support program(IITP-2025-RS-2024- 00438430, 34%).",,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Mutual Deep Q Networks (Mut-DQN): Reinforce Mutually with Multi-agents to Enhance Generalization","20260820141022","Han, Ying (1); Hou, Lu (1); Han, Lingyi (2); Xiong, Xiong (3) ","(1) Beijing University of Posts and Telecommunications, Intelligent Computing and Communications lab, Key Lab of Universal Wireless Communications, China (2) China Aero Geophysical Survey & Remote Sensing Center for Natural Resources (AGRS), Big Data Center, China (3) China Telecom Research Institute, 6G Research Center, China ","Han, Ying","IEEE International Symposium on Personal, Indoor and Mobile Radio Communications, PIMRC","IEEE Int Symp Person Indoor Mobile Radio Commun PIMRC","Aselan; Ericsson; et al.; Huawei; Turk Telecom; Turkcell","Institute of Electrical and Electronics Engineers Inc.","","","","2025","2025 IEEE 36th International Symposium on Personal, Indoor and Mobile Radio Communications, PIMRC 2025","","1 of 1","2025","English","21669570","21669589","","9798350363234","10.1109/PIMRC62392.2025.11274845","","36th IEEE International Symposium on Personal, Indoor and Mobile Radio Communications, PIMRC 2025","September 1, 2025 - September 4, 2025","Istanbul, Turkey","218022","","Conference article (CA)","In multi-agent systems, Deep Q Network (DQN) is a basic algorithm that utilize the representational ability of deep learning and the decision-making capacity of reinforcement learning to tackle complex tasks in control and optimization problems. However, standard DQN algorithm faces challenges in generalization and robustness, especially when dealing with varying noise levels in practical environments. To address these challenges, this paper proposes Mutual Deep Q Networks (Mut-DQN), a multi-agent algorithm that combines mutual learning with Deep Reinforcement Learning (DRL). Mut-DQN employs multiple agents with independently initialized Q networks. These agents learn mutually by minimizing a mixed loss function, which includes both Temporal Difference (TD) error and mutual loss. The mutual loss is specifically designed to reduce the variance among different agents' actions when they encounter the same environment states. By minimizing mutual loss, the system promotes knowledge exchange between agents, enhancing the diversity and generalization of their behaviors. Our experiments demonstrate that Mut-DQN can resist parameter and environment noise compared to standard DQN significantly, meaning that the Mut-DQN can reach a wide and stable solution space. Mut-DQN's capacity to enable information sharing among agents enhances both robustness and generalization. Such improvement is essential for multi-agent systems that interact frequently with dynamic and noisy environments. © 2025 IEEE.","10","Reinforcement learning","Decision making - Deep learning - Deep reinforcement learning - Intelligent agents - Knowledge based systems - Knowledge management - Knowledge transfer - Learning algorithms - Multi agent systems - Robustness (control systems) - Signal processing","Complex task - Decisions makings - Deep Q network - Generalisation - Generalization performance - In-control - Multi agent - Multiagent systems (MASs) - Mutual learning - Reinforcement learnings","716.1 Information Theory and Signal Processing - 731.1 Control Systems - 903.2 Information Dissemination - 903.3 Information Retrieval and Use - 912.2 Management - 1101 Artificial Intelligence - 1101.1 Expert Systems - 1101.2 Machine Learning - 1101.2.1 Deep Learning - 1106.5 Computer Applications - 1106.9 Computer Software","Number: 62001052, Acronym: NNSF, Sponsor: National Natural Science Foundation of China; Number: -, Acronym: NNSF, Sponsor: National Natural Science Foundation of China; ","This work is supported by the National Natural Science Foundation of China(No.62001052).",,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Agentic AI in Distributed Systems: Toward Autonomous, Goal-Oriented Decision-Making in Multi-Agent Environments","20261320352964","Panda, Swarup (1); Padhy, Anita (2) ","(1) Srm Institute of Science and Technology, Chennai, India (2) Biju Patnaik University of Technology, Rourkela, India ","Panda, Swarup(swaruppanda1331@gmail.com)","5th IEEE International Conference on Mobile Networks and Wireless Communications, ICMNWC 2025","IEEE Int. Conf. Mob. Networks Wirel. Commun., ICMNWC","","Institute of Electrical and Electronics Engineers Inc.","","","","2025","5th IEEE International Conference on Mobile Networks and Wireless Communications, ICMNWC 2025","","1 of 1","2025","English","","","","9798331556648","10.1109/ICMNWC66779.2025.11354453","","5th IEEE International Conference on Mobile Networks and Wireless Communications, ICMNWC 2025","December 10, 2025 - December 11, 2025","Tumakuru, India","219741","","Conference article (CA)","Agentic AI integrates multi-agent system technologies with conventional distributed systems to create agents capable of autonomous, goal-driven decisions. Deploying multiple agents in restricted, complex, distributed environments requires collaboration and coordination to achieve individual and collective objectives. The widespread adoption of distributed applications-including the Internet, mobile networks, peer-to-peer and volunteer computing, and sensor networks-has increased interest in empowering devices to operate with greater autonomy. A distributed system comprises multiple hosts that cooperate to appear as a single system, offering extensive resources, high availability, and scalability. Multi-agent systems represent another form of distributed systems comprising autonomous, interactive agents that collaborate or compete to solve complex problems exceeding individual capabilities. Agentic AI augments multi-agent systems with reasoning abilities that enable the selection and pursuit of high-level human-defined targets comprehensible by the agents. While some agents receive training for machine learning in multi-agent reinforcement learning settings, such training yields only low-level skills•The problem (distributed systems need goal-oriented autonomy).•The approach (hierarchical MARL with CTDE).•The contribution (architecture + simulation + conflict-resolution mechanism). © 2025 IEEE.","25","Reinforcement learning","Autonomous agents - Behavioral research - Complex networks - Coordination reactions - Decision making - Distributed computer systems - Hierarchical systems - Intelligent agents - Learning systems - Multi agent systems - Personnel training - Sensor networks","Agent Framework - Conflict Resolution - Decisions makings - Distributed systems - Goal-driven - Goal-driven decision-making - Goal-oriented - Hierarchical agent framework - Multi-agent reinforcement learning - Multiagent systems (MASs)","101.5 Ergonomics and Human Factors Engineering - 802.2 Chemical Reactions - 912.2 Management - 912.3 Personnel - 942.2.2 Detectors and Sensing - 961 Systems Science - 971 Social Sciences - 1101 Artificial Intelligence - 1101.2 Machine Learning - 1103.4 Digital Computers and Systems - 1105 Computer Networks - 1106.9 Computer Software",,,,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Automatic Question Generation for Intuitive Learning Utilizing Causal Graph Guided Chain of Thought Reasoning","20255119753721","Wang, Nichoas X. (1); Parpia, Neel V. (1); Parikh, Aaryan D. (1); Katsaggelos, Aggelos K. (2) ","(1) Stellar Learning Technologies, San Jose, United States (2) Northwestern University, Evanston, United States ","","Proceedings of the International Conference on Multimedia Information Processing and Retrieval, MIPR","Proc. Int. Conf. Multimed. Inf. Process. Retr., MIPR","","Institute of Electrical and Electronics Engineers Inc.","","","390-394","2025","Proceedings - 2025 IEEE 8th International Conference on Multimedia Information Processing and Retrieval, MIPR 2025","","1 of 1","2025","English","27704327","27704319","","9798331594657","10.1109/MIPR67560.2025.00068","","8th IEEE International Conference on Multimedia Information Processing and Retrieval, MIPR 2025","August 6, 2025 - August 8, 2025","San Jose, CA, United states","215404","","Conference article (CA)","Intuitive learning plays a vital role in building deep conceptual understanding, particularly in STEM education, where students often grapple with abstract and interdependent ideas. Automatic question generation has emerged as an effective strategy to support personalized and adaptive learning. However, its effectiveness is limited by hallucinations in large language models (LLMs), which can produce factually incorrect, ambiguous, or pedagogically inconsistent questions. To address this challenge, we propose a novel framework that combines causal-graph-guided Chain-of-Thought (CoT) reasoning with a multi-agent LLM architecture to ensure the generation of accurate, meaningful, and curriculum-aligned questions. In this approach, causal graphs offer an explicit representation of domain knowledge, while CoT reasoning enables structured, step-by-step traversal through related concepts. Dedicated LLM agents handle specific tasks such as graph pathfinding, reasoning, validation, and output, all operating under domain constraints. A dual validation mechanism-at both the conceptual and output stages-substantially reduces hallucinations. Experimental results show up to a 70% improvement in quality over reference methods and yielded highly favorable outcomes in subjective evaluations. © 2025 IEEE.","17","Chains","Deep learning - Multi agent systems - STEM (science, technology, engineering and mathematics)","Automatic question generation - Causal graph - Chain of thought - Conceptual understanding - In-buildings - Intuitive learning - Language model - Large language model - Personalized learning - STEM education","601.2 Machine Components - 602.1 Mechanical Drives - 901.2 Education - 1101 Artificial Intelligence - 1101.2.1 Deep Learning",,,,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"A Framework for Team Collaborative Tasks Based on Large Language Model Agents","20261220325491","Xiao, Yuanyang (1); Niu, Lei (1) ","(1) Central China Normal University, Faculty of Artificial Intelligence in Education, Wuhan, China ","Niu, Lei(lniu@ccnu.edu.cn)","Proceedings - 2025 IEEE International Conference on Agentic AI, ICA 2025","Proc. - IEEE Int. Conf. Agentic AI, ICA","Baidu; Central China Normal University; Central China Normal University Wollongong Joint Institute; HipaddleAI; Technical Community on Intelligent Informatics","Institute of Electrical and Electronics Engineers Inc.","","","84-85","2025","Proceedings - 2025 IEEE International Conference on Agentic AI, ICA 2025","","","2025","English","","","","9798331556341","10.1109/ICA67499.2025.00027","","2025 IEEE International Conference on Agentic AI, ICA 2025","December 5, 2025 - December 7, 2025","Wuhan, China","219890","","Conference article (CA)","This paper presents a framework for team collaborative tasks based on Large Language Model (LLM) Agents. It integrates four specialized agents - task analysis, capability analysis, dynamic monitoring, and outcome integration and a four-phase workflow. The framework addresses dynamic uncertainties (e.g., resource changes, task evolution) via three core mechanisms: dynamic progress quantification, automated situation response, and prioritized conflict resolution. © 2025 IEEE.","6","Multi agent systems","Agents - Collaborative learning - Computational methods - Distributed computer systems - Intelligent agents - Job analysis - Uncertainty analysis","Collaborative tasks - Conflict Resolution - Dynamic monitoring - Language model - Large language model - Model agents - Multiagent systems (MASs) - Task analysis - Task-based - Team collaboration","803 Chemical Agents and Basic Industrial Chemicals - 901.2 Education - 912.2 Management - 1101 Artificial Intelligence - 1103.4 Digital Computers and Systems - 1106.9 Computer Software - 1201.5 Computational Mathematics - 1202.1 Probability Theory",,,,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Learning-Based Distributed Aerial Shepherding of UGV Swarms","20253419041384","El Marhouch, Reda (1); El Khamlichi, Btissam (1); Seghrouchni, Amal El Fallah (1, 2) ","(1) Mohammed VI Polytechnic University, Ai Movement - International Artificial Intelligence Center of Morocco, Morocco (2) Sorbonne Université, LIP6 - UMR 7606, CNRS, France ","El Marhouch, Reda; El Khamlichi, Btissam; Seghrouchni, Amal El Fallah","Proceedings - 2025 21st International Conference on Distributed Computing in Smart Systems and the Internet of Things, DCOSS-IoT 2025","Proc. - Int. Conf. Distrib. Comput. Smart Syst. Internet Things, DCOSS-IoT","Technology Innovation Institute (TII)","Institute of Electrical and Electronics Engineers Inc.","","","93-98","2025","Proceedings - 2025 21st International Conference on Distributed Computing in Smart Systems and the Internet of Things, DCOSS-IoT 2025","","1 of 1","2025","English","","","","9798331543723","10.1109/DCOSS-IoT65416.2025.00021","","21st Annual International Conference on Distributed Computing in Smart Systems and the Internet of Things, DCOSS-IoT 2025","June 9, 2025 - June 11, 2025","Lucca, Italy","211062","","Conference article (CA)","In heterogeneous swarms of Unmanned Aerial Vehicles (UAVs) and Unmanned Ground Vehicles (UGVs), leaderfollower schemes are commonly used for coordination but face challenges such as operational differences, communication constraints, and reliance on a single leader, creating a single point of failure. To address these issues, we propose a distributed leaderfollower model within a shepherding framework, dynamically assigning leadership among multiple agents. A UAV serves as an aerial shepherd, guiding a UGV that leads the swarm, while UGVs autonomously select local leaders to enhance cohesion and minimize communication overhead. An embedding-based observation history mechanism enables agents to leverage past data for improved decision-making. The model is optimized using an actor-critic reinforcement learning algorithm, refining agent behaviors through continuous learning. Simulations show a 72 % mission success rate, a 20 % improvement over cluster-based Boids, and a 12 % gain over learning-based methods, with collision rates below 30 % in swarms of 150 agents. These results demonstrate enhanced scalability, robustness, and coordination efficiency in large, heterogeneous swarms. © 2025 IEEE.","25","Reinforcement learning","Antennas - Behavioral research - Decision making - Intelligent agents - Intelligent systems - Learning algorithms - Multi agent systems - Optimization - Swarm intelligence - Unmanned aerial vehicles (UAV)","Actor critic - Aerial shepherding - Aerial vehicle - Communication constraints - Heterogeneous swarm - Leader-follower - Multiple agents - Reinforcement learnings - Single point - Unmanned aerial vehicle-unmanned ground vehicle collaboration","101.5 Ergonomics and Human Factors Engineering - 652.1 Aircraft - 716.5.1 Antennas - 912.2 Management - 971 Social Sciences - 1101 Artificial Intelligence - 1101.2 Machine Learning - 1106.9 Computer Software - 1201.7 Optimization Techniques",,,,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Multi-agent Assessment Generation System for SBIRT Training in Nursing","20252418588315","Godbole, Mihir (1); Garg, Aakash (1); Seo, Jinsil Hwaryoung (1); Thai, Lauren (1); Kroll, Nicole (1); Weston, Cindy (2); Bruce, Cody (2); Wells-Beede, Elizabeth (2) ","(1) Texas A&M University, College Station; TX, United States (2) College of Nursing, UNT Health Science Center, Fort Worth; TX; 76107, United States ","Godbole, Mihir(amigo2000@tamu.edu)","Lecture Notes in Computer Science","Lect. Notes Comput. Sci.","","Springer Science and Business Media Deutschland GmbH","15793 LNCS","","14-27","2025","Digital Human Modeling and Applications in Health, Safety, Ergonomics and Risk Management - 16th International Conference, DHM 2025, Held as Part of the 27th HCI International Conference, HCII 2025, Proceedings","","3 of 3","2025","English","03029743","16113349","","9783031935077","10.1007/978-3-031-93508-4_2","","16th International Conference on Digital Human Modeling and Applications in Health, Safety, Ergonomics and Risk Management, DHM 2025, held as part of the 27th HCI International Conference, HCII 2025","June 22, 2025 - June 27, 2025","Gothenburg, Sweden","333019","","Conference article (CA)","Training nurses in therapeutic communication is crucial, particularly in mental and behavioral health care. SBIRT (Screening, Brief Intervention, and Referral to Treatment) method equips nurses to identify risky substance use, provide early intervention, and refer individuals to treatment. Traditional SBIRT training often involves subjective and time-intensive evaluations. This paper proposes a scalable, automated multi-agent evaluation system using large language models (LLMs) to simulate patient interactions and analyze nurse-patient conversations, ensuring objective and consistent assessments. By employing dual LLM agents for relevance ranking and reasoning, the system enhances the training process by providing actionable, explainable feedback, advancing both scalability and reliability. We assess our system’s effectiveness by comparing it to a single LLM-agent approach, analyzing improvements in evaluation consistency, feedback quality, and overall training impact. Additionally, we benchmark the performance of various LLMs to determine their suitability for therapeutic communication assessment, highlighting differences in reasoning, relevance ranking, and explainability. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","16","Nursing","Medical education - Personnel training - Respiratory therapy","Behavioral health - Generation systems - Language model - Large language model - Mental health - Model agents - Multi agent - Nursing education - Relevance ranking - Screening, brief intervention, and referral to treatment training","102.1 Medicine - 102.1.2.1 Health Care - 901.2 Education - 912.3 Personnel","Number: 1 UD 7HP376380100, Acronym: HRSA, Sponsor: Health Resources and Services Administration; Number: -, Acronym: HRSA, Sponsor: Health Resources and Services Administration; ","This study was funded by HRSA (grant number: 1 UD 7HP376380100).",,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"MULTI-AGENT SYSTEM BASED ON BI-LEVEL FBS SELF-CLOSED-LOOP CO-EVOLUTION FRAMEWORK","20255019692729","Cao, Jinhui (1); Ming, Zhenjun (1); Allen, Janet K. (2); Mistree, Farrokh (2) ","(1) School of Mechanical Engineering, Beijing Institute of Technology, Beijing, China (2) The Systems Realization Laboratory @ OU, University of Oklahoma, Norman; OK, United States ","","Proceedings of the ASME Design Engineering Technical Conference","Proc. ASME Des. Eng. Tech. Conf.","Computers and Information in Engineering Division; Design Engineering Division","American Society of Mechanical Engineers (ASME)","3B-2025","","","2025","Proceedings of ASME 2025 International Design Engineering Technical Conferences and Computers and Information in Engineering Conference, IDETC-CIE 2025","51st Design Automation Conference (DAC)","5 of 8","2025","English","","","","9780791889237","10.1115/DETC2025-168710","v03bt03a035","ASME 2025 International Design Engineering Technical Conferences and Computers and Information in Engineering Conference, IDETC-CIE 2025","August 17, 2025 - August 20, 2025","Anaheim, CA, United states","214685","","Conference article (CA)","Multi-agent systems must operate in increasingly dynamic environments, where sudden changes such as the appearance of moving or unforeseen obstacles pose major challenges to the system’s adaptability. In this paper, we propose a bi-level Function-Behavior-Structure (FBS) self-closed-loop framework to enable both individual agents and clusters of agents to reason adaptively from task requirements and to change their behavior in response to environmental changes. Inspired by the FBS model in product design, this framework introduces self-reasoning at two hierarchical levels: the cluster-level and the individual agent-level. To enhance real-time adaptability, we develop an environment prediction method based on incremental changes in the location of obstacle pixels observed across time steps. This allows for the construction of dynamic prediction maps. Key to this is the introduction of a system event influence value, to quantify environmental disruptions and determine whether the system should perform global re-planning, local re-planning, or continue with the current plan, This helps the researcher establish a balance between responsiveness and computational efficiency. The framework is demonstrated with a collaborative box-pushing scenario involving multiple agents navigating evolving environments with successive levels of complexity. Comparative experiments show that the proposed method outperforms a traditional bi-level planning approach in both success rate and computational resource usage, particularly in high-complexity scenarios. The framework offers a generalizable approach to adaptive design for multi-agent systems and can be applied to domains such as smart manufacturing, logistics, and autonomous operations. Copyright © 2025 by ASME;","31","Multi agent systems","Autonomous agents - Computational efficiency - Forecasting - Intelligent agents - Product design - Real time systems - Smart manufacturing","Adaptive designs - Bi-level function-behavior-structure self-closed-loop - Closed-loop - Co-evolution - Environmental prediction - Function-Behavior- Structure - Individual agent - Local-global balance - Multiagent systems (MASs) - Re-planning","904 Design - 913.4.1 Computer Aided Manufacturing - 913.6 Product Development; Concurrent Engineering - 1101 Artificial Intelligence - 1102.1 Computer Theory, Includes Computational Logic, Automata Theory, Switching Theory, Programming Theory - 1103.4 Digital Computers and Systems - 1106.5 Computer Applications - 1106.9 Computer Software - 1202 Statistical Methods","Number: -, Acronym: OU, Sponsor: University of Oklahoma; Number: 62373047, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 3222020, Acronym: -, Sponsor: -; ","Zhenjun Ming acknowledges support from the National Natural Science Foundation of China (Grant No. 62373047), and Beijing Municipal Science and Technology Foundation (Grant No. 3222020). Janet K. Allen acknowledges funding from the John and Mary Moore Chair and Farrokh Mistree acknowledges the funding from the L.A. Comp Chair at the University of Oklahoma.",,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Agent-Based Simulation of a Financial Market with Large Language Models","20255219773768","Hashimoto, Ryuji (1, 2); Takayanagi, Takehiro (1, 2); Suzuki, Masahiro (2); Izumi, Kiyoshi (1, 2) ","(1) Simulacra Inc., Tokyo, Japan (2) The University of Tokyo, Bunkyō, Japan ","Hashimoto, Ryuji(hashimoto-ryuji419@g.ecc.u-tokyo.ac.jp)","Lecture Notes in Computer Science","Lect. Notes Comput. Sci.","UNIMORE; AIxIA; Artificial Intelligence Journal; The Université franco-italienne; Télécom Paris","Springer Science and Business Media Deutschland GmbH","16366 LNAI","","20-28","2026","PRIMA 2025: Principles and Practice of Multi-Agent Systems - 26th International Conference, Proceedings","","1 of 1","2026","English","03029743","16113349","","9783032135612","10.1007/978-3-032-13562-9_2","","26th International Conference on Principles and Practice of Multi-Agent Systems, PRIMA 2025","December 16, 2025 - December 19, 2025","Modena, Italy","344639","","Conference article (CA)","In real-world stock markets, certain chart patterns—such as price declines near historical highs—cannot be fully explained by fundamentals alone. These anomalies suggest path dependence in price formation, where investor decisions are shaped not only by current market conditions but also by preceding price trajectories. In behavioral finance, such path dependence has been attributed to loss aversion, anchored to personal reference points like purchase prices or past peaks. However, incorporating these subtle behavioral biases into traditional agent-based market simulations has been challenging. To address this, we propose the Fundamental-Chartist-LLM-Agent (FCLAgent), which leverages large language models (LLMs) to emulate human-like trading decisions. In this framework, LLMs determine buy/sell intentions based on individual contexts, while order price and volume are generated by standard rule-based mechanisms. Simulation results demonstrate that FCLAgents successfully reproduce path-dependent patterns that conventional agents fail to capture. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.","16","Financial markets","Autonomous agents - Commerce - Computational methods - Costs - Electronic trading - Investments - Purchasing","'current - Agent based simulation - Behavioral bias - Financial market simulation - Language model - Large language model - Market condition - Path dependence - Price formation - Real-world","911 Cost and Value Engineering; Industrial Economics - 911.2 Industrial Economics - 971 Social Sciences - 1106.5 Computer Applications - 1106.9 Computer Software - 1201.5 Computational Mathematics","Number: JP25KJ1124, Acronym: KAKENHI, Sponsor: Japan Society for the Promotion of Science; ","This work was supported by JSPS KAKENHI Grant Number JP25KJ1124.",,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
